"","V1","V1","V1","V1","V1","V1","V1"
"Sensitivity",0.820037256013607,0.68526767635863,0.933344132177857,0.931562322831457,0.958046489025674,0.905807078642585,0.858346156961205
"Specificity",0.853496784565916,0.948419078242229,0.902532154340836,0.935825294748124,0.94895498392283,0.930734190782422,0.890407288317256
"Pos.Pred.Value",0.822368421052632,0.916585418697866,0.887895831728176,0.923113964686998,0.939480581367644,0.915370764445899,0.866274317475887
"Neg.Pred.Value",0.851500367573348,0.78463755264908,0.942431449356463,0.942963212959838,0.964723508580768,0.922760177990304,0.883717837909714
"Precision",0.822368421052632,0.916585418697866,0.887895831728176,0.923113964686998,0.939480581367644,0.915370764445899,0.866274317475887
"Recall",0.820037256013607,0.68526767635863,0.933344132177857,0.931562322831457,0.958046489025674,0.905807078642585,0.858346156961205
"F1",0.821201184151831,0.784224673278339,0.91005291005291,0.927318901922844,0.948672708316625,0.910563810299206,0.862292014157276
"Prevalence",0.452685609532539,0.452685609532539,0.452685609532539,0.452685609532539,0.452685609532539,0.452685609532539,0.452685609532539
"Detection.Rate",0.37121906507791,0.310210815765353,0.422511457378552,0.421704857928506,0.433693858845096,0.410045829514207,0.388560953253896
"Detection.Prevalence",0.451402383134739,0.338441796516957,0.475857011915674,0.456828597616865,0.461631530705775,0.447956003666361,0.448542621448213
"Balanced.Accuracy",0.836767020289761,0.81684337730043,0.917938143259347,0.933693808789791,0.953500736474252,0.918270634712504,0.874376722639231
"Accuracy",0.838350137488543,0.82929422548121,0.916480293308891,0.933895508707608,0.953070577451879,0.919450045829514,0.875893675527039
"Kappa",0.673699133696668,0.647820160865633,0.832193839483232,0.866701903403139,0.905454611394459,0.837297517789367,0.749346310467906
"AccuracyLower",0.83392697220904,0.824775647838432,0.913134028273294,0.930881978160441,0.950493677591212,0.916157132769435,0.871922458347067
"AccuracyUpper",0.842701099044307,0.833742540289095,0.919737519861415,0.936816200678279,0.9555503982927,0.922653274614982,0.879784625694263
"AccuracyNull",0.547314390467461,0.547314390467461,0.547314390467461,0.547314390467461,0.547314390467461,0.547314390467461,0.547314390467461
"AccuracyPValue",0,0,0,0,0,0,0
"McnemarPValue",0.608618906975078,0,6.66934982973629e-40,0.00834782217652457,1.10546249036663e-11,0.00631747172425417,0.0542249486040635
